Course Title,Qualification Level,entry_requirements,description
Production Horticulture,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of personnel working on production horticulture farms. The qualification can be contextualised for a tree cropping, vegetable, berry or flower production or mushroom production context as a job focus or, in the case of mixed enterprises, both."
Horticulture,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of those who manage amenity horticultural enterprises where a range of skills and knowledge across the breadth of the industry is required or personnel working in horticulture at a level requiring higher technical skills."
Arboriculture,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of personnel working as consultant arborists."
Landscape Design,Diploma,Year 12,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is a specialist qualification for landscape designers."
Parks and Gardens Management,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of those who manage private parks and gardens or personnel working in local government as parks mangers."
Production Nursery Management,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of those who manage commercial production nursery enterprises."
Sports Turf Management,Diploma,Certificate III in Sports Turf Management or Recognition of Prior Learning or an equivalent trade level qualification in green keeping or turf management,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It applies to curators, golf course superintendents, sports turf managers, senior bowling greenkeepers and turf consultants."
Conservation and Land Management,Diploma,Entrance requirements vary between providers.,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of personnel working in management positions with a technical level of skill in land management roles."
Agribusiness Management,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of personnel working on farms, stations and related rural businesses involved in administering and managing those businesses."
Irrigation Management,Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the role of an irrigation business manager."
Agriculture,Advanced Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the roles of individuals working in management roles in agriculture."
Agribusiness Management,Advanced Diploma,No minimum education,"This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It reflects the roles of individuals working in a range of agribusinesses. The units covered in this qualification are uniquely contextualised for the agribusiness sector and reflect the need for agribusiness-specific management expertise in planning and analysis, financial and human resource management together with an emphasis on sustainability. It is also suited to the needs of individuals who possess significant theoretical agribusiness skills and knowledge that they would like to further develop in order to create further educational or employment opportunities."
Aviation (Ground Operations and Service),Certificate II,No minimum education,"This qualification is part of the Aviation Training Package. It provides students with the skills and knowledge to work in the Aviation Industry in roles such as senior baggage handlers, aircraft refuellers and airport reporting officers. Students will gain the knowledge necessary to be able to check import/export documentation, carry out vehicle inspections and load and unload explosive goods, amongst other important competencies."
Aviation (Flight Operations),Certificate III,No minimum education,"This qualification is part of the Aviation Training Package. It is a general qualification for the Aviation Industry, and provides students with the skills and knowledge to work as cabin crew or cargo services operators. At this level, students will be able to perform a defined range of skilled operations, usually within a range of broader related activities involving known routines, methods and procedures, where some discretion and judgement is required in the selection of equipment, services or contingency measures and within known time constraints."
Aviation (Ground Operations and Service),Certificate III,No minimum education,"This qualification is part of the Aviation Training Package. It provides students with the skills and knowledge to work in the Aviation Industry in roles such as senior baggage handlers, aircraft refuellers, airport reporting officers and so on. At this level, students will be able to perform a defined range of skilled operations, usually within a range of broader related activities involving known routines, methods and procedures, where some discretion and judgement is required in the selection of equipment, services or contingency measures and within known time constraints."
Aviation (Commercial Pilot Aeroplane Licence),Certificate IV,Relevant Certificate III,"This qualification is part of the Aviation Training Package. It provides students with the skills and knowledge to work as a commercial aeroplane pilot. At this level, students will be able to perform a broad range of skilled applications including requirements to evaluate and analyse current practices, develop new criteria and procedures for performing current practices, and provision of some leadership and guidance to others."
Interactive Digital Media,Certificate IV,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for individuals who wish to build upon their skill and knowledge base in a wide variety of contexts in the digital content industry. Streams allow students to specialise as an interactive media author, a web designer, a media asset producer or a digital artist."
Make-up,Certificate IV,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for individuals who wish to build upon their make-up and hair skill base for the screen, media and entertainment industries. They also have the opportunity to develop their management and business skills in relation to the media industry. Students may select specialist units for streams in hair or make-up."
Screen and Media,Diploma,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for people who want to expand on their skills and knowledge of the media industry and in particular establishing networks, managing projects and taking part in the production of the media. Streams allow students to specialise as a producer, production manager, animation or visual effects designer, presenter or director of photography."
Interactive Digital Media,Diploma,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for people who want to expand their knowledge of the digital landscape and in areas such as animation, visual effects and online media. Streams allow students to specialise as an information architect, instructional designer or interactive media developer."
Specialist Make-up Services,Diploma,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for people who want to expand on their knowledge of the entertainment industry in relation to the application of special make-up services. Employment outcomes may include coordinator of a make-up department or business, freelance make-up artists, make-up/hair stylist/designer or special make-up effects artist/designer."
Costume for Performance,Diploma,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for people who want to learn more about the creative processes involved in working in costume and wardrobe services for the film, television and entertainment industries. Employment outcomes include wardrobe supervisor and costume designer."
Screen and Media,Advanced Diploma,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for individuals who analyse, design and execute judgements using wide-ranging technical, creative, conceptual or managerial competencies in the film, television, radio and digital media industries. Employment outcomes include executive producer, games developer and producer/director/screen writer."
Music,Certificate II,No minimum education,This qualification is part of the Music Training Package. It is designed for people who want to develop and apply creative arts industry knowledge and start to take part in the music making process. It is also a preparatory qualification that can be used as a pathway into specialist Certificate III qualifications within the music industry.
Music,Certificate III,No minimum education,This qualification is part of the Music Training Package. It is designed for people interested in learning about the music industry and how to compose simple songs or musical pieces and develop and apply aural-perception skills.
Technical Production,Certificate III,No minimum education,"This qualification is part of the Music Training Package. It reflects the role of skilled operators who apply a broad range of competencies in a varied work context, using some discretion and judgement and relevant theoretical knowledge. They may provide technical advice and support to a team. Specialist units cover audio/sound, lighting, staging and vision systems."
Music,Certificate IV,No minimum education,"This qualification is part of the Music Training Package. It is designed for people who want to learn more about the music industry and music performance including jazz, classical, contemporary and world."
Sound Production,Certificate IV,No minimum education,"This qualification is part of the Music Training Package. It is designed for people who want to develop skills in composition and production of audio including music and dialogue. It also covers areas such as copyright, professional audio equipment, mixing live audio and sound editing."
Music Business,Certificate IV,No minimum education,"This qualification is part of the Music Training Package. It is designed for people who wish to learn more about the music industry and in particular event management, industry context, marketing, music literacy, management, music performance, project management, purchasing and contracting and public relations. Upon completion, possible employment opportunities include band/artist manager, music marketing and promotions officer, booking agent or self-employed (independent) musician."
Music,Diploma,No minimum education,"This qualification is part of the Music Training Package. It is designed for people interested in further developing their knowledge of the music industry and learning more about the creative process, industry context and music composition."
Sound Production,Diploma,No minimum education,This qualification is part of the Music Training Package. It is designed for people who wish to develop specialist expertise in the music industry and learn how to apply sound production principles in practical situations such as setting up and operating stage monitor systems and composing and producing sound recordings.
Music Business,Diploma,Relevant Certificate IV; or relevant vocational experience,"This qualification is part of the Music Training Package. It is designed for people who wish to learn more about the music industry and in particular how to establish legal and risk management requirements for a small business, manage and exploit copyright arrangements and apply music knowledge and artistic judgement."
Music,Advanced Diploma,No minimum education,"This qualification is part of the Music Training Package. It is designed for those who currently work in the music industry and wish to expand their skills and knowledge in such areas as copyright management, applying music knowledge and artistic judgement and providing tuition for composition."
Sound Production,Advanced Diploma,No minimum education,"This qualification is part of the Music Training Package. It is designed for those who want to further develop their knowledge of sound production, and in particular how to manage projects, set up and operate audio system control networks and compile music for soundtracks."
Visual Arts,Certificate I,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It allows learners to develop basic knowledge and skills to prepare for work in the visual arts, craft and broader creative industries."
Visual Arts,Certificate II,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It allows learners to develop the basic creative and technical skills that underpin visual arts and craft practice."
Aboriginal or Torres Strait Islander Cultural Arts,Certificate II,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It allows learners to develop the basic art-making skills that underpin visual arts and craft practice. The local cultural knowledge necessary to achieve some of the units of competency in this qualification may only be accessible to Aboriginal or Torres Strait Islander people. Any organisation or individual planning to offer this qualification would be expected to work closely with the local Aboriginal or Torres Strait Islander community, for example through establishing a local Aboriginal or Torres Strait Islander reference group."
Visual Arts,Certificate III,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It enables learners to use a range of skills and techniques to produce art and craft works. Students have the ability to select, adapt and transfer skills to different situations. Job outcomes are limited at this level."
Aboriginal or Torres Strait Islander Cultural Arts,Certificate III,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It enables learners to use a range of skills and techniques to produce arts and craft works. Students have the ability to select, adapt and transfer skills to different situations. The local cultural knowledge necessary to achieve some of the units of competency in this qualification may only be accessible to Aboriginal or Torres Strait Islander people."
Design Fundamentals,Certificate III,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It provides a pathway to a career in design. There are limited job outcomes at this level, though in areas such as graphic design and digital media there may be some employment opportunities in junior roles."
Visual Arts,Certificate IV,Relevant art or design skills and knowledge,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of practitioners working at a pre-professional level who are beginning to develop their own artistic voice. Students produce work that shows proficiency with techniques in their chosen art form and are able to apply solutions to a defined range of unpredictable problems. They have broad and integrated factual, technical and theoretical knowledge with cognitive skills that allow them to analyse, compare and act on information from a range of sources."
Aboriginal or Torres Strait Islander Cultural Arts,Certificate IV,No minimum education. The local cultural knowledge necessary to achieve some of the units of competency in this qualification may only be accessible to Aboriginal or Torres Strait Islander people. It is recommended that people undertaking this qualification possess some relevant art or design skills and knowledge prior to entry.,"This qualification is part of the Visual Arts, Craft and Design Training Package. It reflects the role of people who work in an Aboriginal or Torres Strait Islander cultural arts context. They produce work that shows a well-developed command of technique in their chosen art form and are able to apply solutions to a defined range of unpredictable problems. They have broad and integrated factual, technical and theoretical knowledge with cognitive skills that allow them to analyse, compare and act on information from a range of sources."
Design,Certificate IV,Certificate III in Design Fundamentals; or possess some creative and design skills,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It provides a pathway to a career in design. There are limited job outcomes at this level, though in areas such as graphic and digital design there may be some employment opportunities as a junior design assistant."
Photo Imaging,Certificate IV,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of people who apply a broad range of skills in photo imaging, including lighting, image capture, enhancements and manipulation and output."
Visual Arts,Diploma,Skills and knowledge described in the following unit of competency: Realise a creative project. Those skills and knowledge may have been acquired through experience in creative practice or through formal study.,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of visual artists who combine specialised technical, creative and conceptual skills to prepare for and develop an emerging arts practice. Students are able to plan and realise a body of work in one or more art form. Visual arts practice at this level is underpinned by a sound grasp of art theory and history and the ability to critically analyse and synthesise information from a range of sources."
Ceramics,Diploma,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of ceramicists who combine specialised technical, creative and conceptual skills to develop their own ceramics practice. They are able to plan, design and realise a body of ceramic work using in-depth skills specific to ceramics technologies, materials and processes. Practice at this level is underpinned by a sound grasp of ceramics and broader art and design theory and history, as well as the ability to critically analyse and synthesise information from a range of sources. Discourse and communication around complex ideas are also required."
Graphic Design,Diploma,Certificate IV qualification in a field related to graphic design; or relevant vocational experience,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of graphic designers at the beginning of their professional careers. Students combine technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges. They have a sound understanding of design theory and practice and are able to analyse and synthesise information from a range of sources to generate design solutions. Graphic designers work in many different commercial and community contexts across both print and digital media. At this level, the designer is likely to be working in junior or generalist roles."
Photo Imaging,Diploma,Certificate IV in Photo Imaging; or Certificate IV in Visual Arts; or Certificate IV in Design; or relevant vocational experience,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of photo imaging practitioners who possess a sound theoretical knowledge base and use a range of specialised and technical competencies to plan, carry out and evaluate photo imaging services. The qualification applies to a range of industry contexts including commercial, domestic portrait, media, wedding, illustrative, institutional and art photography."
Visual Arts,Advanced Diploma,Diploma of Visual Arts; or relevant Diploma,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of independent professional visual arts practitioners who have a command of wide-ranging, highly specialised technical, creative and conceptual skills and knowledge. These skills allow practitioners to extend and refine their practice to a point where they are able to originate, realise and exhibit a substantial body of resolved work that expresses their individual creative vision. The ability to engage in critical discourse and debate about one's own work and the work of others is underpinned by a mature engagement with a range of theoretical concepts and historical perspectives."
Creative Product Development,Advanced Diploma,No minimum education,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It is designed to reflect the role of professional practitioners in the creative arts industries. As such, it reflects the role of people who analyse, design and execute judgements using wide-ranging technical, creative, conceptual or managerial competencies. Their knowledge base may be specialised or broad. These people are sometimes accountable for group outcomes."
Graphic Design,Advanced Diploma,Diploma of Graphic Design; or relevant Diploma; or relevant vocational experience,"This qualification is part of the Visual Arts, Crafts and Design Training Package. It reflects the role of graphic designers who have a command of wide-ranging, highly specialised technical, creative and conceptual skills and knowledge in visual communication. These skills allow designers to conceive, negotiate and realise design concepts for complex projects using sophisticated communication, organisational and project management skills. They may take responsibility for the work of others in terms of establishing and monitoring systems to ensure the effective production of work. Graphic designers work in many different commercial and community contexts across both print and digital media."
Food Processing,Certificate I,No minimum education,"This qualification is part of the Food Processing Training Package. It covers a range of food processing industries, such as grain processing, baking, retail baking, beverages, confectionery, dairy processing, fruit and vegetables, grocery products and supplies, and poultry."
Food Processing,Certificate II,Certificate I in Food Processing; or limited vocational training and/or work experience,"This qualification is part of the Food Processing Training Package. It covers a range of food processing industries, such as grain processing, baking, beverages, confectionery, dairy processing, fruit and vegetables, grocery products and supplies, and poultry."
