ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
212211,Author,"Produces literary or other written work for publication or performance. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications and experience.",Writing,Initiative and innovation,Reading,Planning and organising,Learning,Social media platforms,Web page creation and editing software,Project management software,Facebook,WordPress,Microsoft SharePoint,Advanced Diploma of Professional Screenwriting,,,,,Year 12 with units 3 and 4 in English,,,,
212316,Stage Manager,"Plans, organises, supervises and coordinates the activities of workers responsible for placing sets and properties, and operating lighting and sound equipment as part of film, television or stage productions.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Document management and code versioning software,Electrical and electronic systems measurement instruments,Instant messaging software,Git,Radio frequency RF wattmeters,Unified messaging software,Diploma of Live Production and Technical Services,Advanced Diploma of Live Production and Management Services,,,,Prerequisite unit: Follow occupational health and safety procedures. Relevant experience required.,Prerequisite unit: Follow occupational health and safety procedures. Relevant experience required.,,,
212411,Copywriter,Designs and composes written material to advertise products and services.,Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Social media platforms,Web page creation and editing software,Graphics or photo imaging software,Facebook,WordPress,Adobe Photoshop,Diploma of Professional Writing and Editing,,,,,Certificate IV in Professional Writing and Editing,,,,
221111,Accountant (General),"Provides services relating to compliance-based financial reporting, auditing, insolvency and accounting information systems; and advises on associated record-keeping requirements. Registration or licensing may be required for certain services such as auditing.",Planning and organising,Initiative and innovation,Digital engagement,Writing,Oral communication,Enterprise resource planning ERP software,Accounting software,Business intelligence and decision support software,SAP Business Objects,MYOB Business Essentials,SAP Business Objects,Diploma of Accounting,Advanced Diploma of Accounting,,,,Certificate IV in Accounting,Diploma of Accounting,,,
221214,Internal Auditor,"Examines, verifies, evaluates and reports on financial, operational and managerial processes, systems and outcomes to ensure financial and operational integrity and compliance, and assists in business process reviews, risk assessments, developing deliverables and reporting progress against outcomes. Registration or licensing may be required.",Planning and organising,Oral communication,Problem solving,Numeracy,Digital engagement,Enterprise resource planning ERP software,Regulatory compliance software,Graphics or photo imaging software,SAP Business Objects,Material safety data sheet MSDS software,Adobe Photoshop,Diploma of Quality Auditing,,,,,Certificate IV in Business or relevant qualification; or relevant employment experience,,,,
222311,Financial Investment Adviser,"Develops and implements financial plans for individuals or organisations, and advises on investment strategies and their taxation implications, securities, insurance, pension plans and real estate. Registration or licensing is required.",Planning and organising,Initiative and innovation,Oral communication,Reading,Writing,Financial analysis software,Enterprise resource planning ERP software,Customer relationship management CRM software,Oracle E-Business Suite Financials,SAP Business Objects,Salesforce software,Advanced Diploma of Financial Planning,Diploma of Financial Planning,Diploma of Integrated Risk Management,Diploma of Financial Services,,Core units from the Diploma of Financial Planning; or core units from the Diploma of Accounting plus the unit: Provide advice in financial planning,No minimum education,No minimum education,Year 12 or equivalent,
222312,Financial Investment Manager,"Invests and manages sums of money and assets on behalf of others over an agreed period of time, in order to generate income and profit. Registration or licensing is required.",Initiative and innovation,Planning and organising,Oral communication,Problem solving,Reading,Financial and commodities services software,Enterprise resource planning ERP software,Statistical and data analysis software,Financial brokerage software,SAP Business Objects,SAS,Diploma of Banking Services Management,Advanced Diploma of Banking Services Management,Certificate IV in Superannuation,Diploma of Superannuation,,Certificate IV in Banking Services; Certificate IV in Mobile Banking,Year 12 or equivalent; Diploma of Banking Services Management or equivalent,No minimum education,Certificate IV in Superannuation,
223111,Human Resource Adviser,Provides staffing and personnel administration services in support of an organisation's human resource policies and programs.,Planning and organising,Initiative and innovation,Teamwork,Oral communication,Writing,Enterprise resource planning ERP software,Business intelligence and decision support software,Social media platforms,SAP Business Objects,SAP Business Objects,Facebook,Advanced Diploma of Management (Human Resources),Diploma of Human Resources Management,,,,Relevant Diploma; or relevant vocational experience,No minimum education,,,
223112,Recruitment Consultant,"Interviews applicants to determine their job requirements and suitability for particular jobs, and assists employers to find suitable staff.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Reading,Social media platforms,Human resources software,Enterprise resource planning ERP software,Facebook,ADP Enterprise HRMS,SAP Business Objects,Graduate Certificate in Career Development Practice,,,,,Relevant qualification at Diploma level or higher; or significant relevant vocational experience,,,,
223311,Training and Development Professional,"Plans, develops, implements and evaluates training and development programs to ensure management and staff acquire the skills and develop the competencies required by an organisation to meet organisational objectives.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Learning,Enterprise resource planning ERP software,E-learning software,Graphics or photo imaging software,SAP Business Objects,Adobe Articulate,Adobe Photoshop,Graduate Certificate in Management (Learning),,,,,"Relevant Diploma or Advanced Diploma, or a relevant Certificate III or Certificate IV together with significant relevant vocational practice; extensive relevant vocational practice, without formal qualifications; higher education qualification, together with relevant vocational practice.",,,,
224412,Policy Analyst,"Develops and analyses policies guiding the design, implementation and modification of government or commercial operations and programs.",Planning and organising,Reading,Initiative and innovation,Writing,Learning,Enterprise resource planning ERP software,Project management software,Statistical and data analysis software,SAP Business Objects,Microsoft SharePoint,SAS,Certificate IV in Governance,,,,,No minimum education,,,,
224712,Organisation and Methods Analyst,"Studies organisational structures, methods, systems and procedures.",Planning and organising,Initiative and innovation,Teamwork,Reading,Problem solving,Business intelligence and decision support software,Enterprise resource planning ERP software,Project management software,SAP Business Objects,SAP Business Objects,Microsoft SharePoint,Advanced Diploma of Competitive Systems and Practices,Graduate Certificate in Competitive Systems and Practices,Diploma of Competitive Systems and Practices,,,No minimum education. Certificate IV in Competitive Systems and Practices; or Diploma of Competitive Systems and Practices is recommended.,Relevant Certificate IV with relevant vocational experience; or relevant Diploma or Advanced Diploma; or relevant vocational experience at managerial level,Certificate IV in Competitive Systems and Practices; or relevant vocational experience at managerial or technician level with operational and/or technical skills,,
225113,Marketing Specialist,"Identifies market opportunities and advises on the development, coordination and implementation of plans for pricing and promoting an organisation's goods and services.",Planning and organising,Initiative and innovation,Learning,Problem solving,Oral communication,Social media platforms,Graphics or photo imaging software,Customer relationship management CRM software,Facebook,Adobe Photoshop,Salesforce software,Certificate IV in Marketing,Diploma of Marketing,Advanced Diploma of Marketing,Vocational Graduate Certificate in Digital Marketing,,Relevant Certificate III,Certificate IV in Marketing or equivalent; or relevant vocational experience,Diploma of Marketing; or relevant vocational experience,Relevant Bachelor degree or Advanced Diploma plus one year of industry experience; or relevant Diploma plus two years of industry experience; or three years of industry experience at a significant level of responsibility and/or complexity,
225311,Public Relations Professional,"Plans, develops, implements and evaluates information and communication strategies that create an understanding and a favourable view of an organisation, its goods and services, and its role in the community.",Planning and organising,Initiative and innovation,Oral communication,Reading,Writing,Social media platforms,Graphics or photo imaging software,Project management software,Facebook,Adobe Photoshop,Microsoft SharePoint,Advanced Diploma of Business (Public Relations),Diploma of Business (Public Relations),,,,Diploma of Business - Public Relations,No minimum education,,,
231111,Aeroplane Pilot,"Flies aeroplanes to transport passengers, mail and freight, or provide agricultural, aerial surveillance or other aviation services. Registration or licensing is required.",Planning and organising,Initiative and innovation,Problem solving,Numeracy,Digital engagement,"Air, space, or watercraft guidance systems",Aviation and marine communication systems,,Radio frequency-based navigation and guidance systems,Ultra high frequency UHF radio communication systems,,Certificate IV in Aviation (Commercial Pilot Aeroplane Licence),Diploma of Aviation (Instrument Flight Operations),,,,Relevant Certificate III,No minimum education,,,
231113,Flying Instructor,Teaches the theory and practical skills of flying aircraft. Registration or licensing is required.,Planning and organising,Initiative and innovation,Oral communication,Problem solving,Learning,"Air, space, or watercraft guidance systems",Aviation and marine communication systems,,Radio frequency-based navigation and guidance systems,Ultra high frequency UHF radio communication systems,,Diploma of Aviation (Flight Instructor),,,,,Certificate IV in Aviation - Commercial Pilot Aeroplane Licence; or Certificate IV in Aviation - Commercial Pilot Helicopter Licence; or ability to demonstrate equivalent competence,,,,
231213,Ship's Master,Controls and manages the operations of a ship or boat. Registration or licensing is required.,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Learning,GPS and navigation technologies,,,Global Positioning System GPS devices,,,Certificate III in Maritime Operations (Master Inland Waters),Certificate IV in Maritime Operations (Master up to 35 metres Near Coastal),Certificate II in Maritime Operations (Coxswain Grade 1 Near Coastal),Certificate III in Maritime Operations (Master up to 24 metres Near Coastal),Certificate I in Maritime Operations (Coxswain Grade 2 Near Coastal),No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
232311,Fashion Designer,"Plans, designs and develops clothing, accessories, footwear or other items of personal apparel considering the form and construction of clothing, historical styles and contexts, contemporary and cultural trends, colour, fabric, and decoration, and the techniques and processes available for manufacture.",Planning and organising,Initiative and innovation,Problem solving,Oral communication,Learning,Graphics or photo imaging software,Document management and code versioning software,,Adobe Photoshop,Git,,Diploma of Textile Design and Development,Diploma of Fashion and Textiles Merchandising,Certificate IV in Fashion and Textiles Merchandising,Diploma of Applied Fashion Design and Technology,Advanced Diploma of Applied Fashion Design and Technology,No minimum education,No minimum education,Year 12,No minimum education,Relevant Diploma
232312,Industrial Designer,"Plans, designs, develops and documents industrial, commercial or consumer products for manufacture with particular emphasis on ergonomic (human) factors, marketing considerations and manufacturability, and prepares designs and specifications of products for mass or batch production.",Initiative and innovation,Writing,Reading,Learning,Problem solving,Graphics or photo imaging software,Technical design and modelling software (2D and 3D),Statistical and data analysis software,Adobe Photoshop,Autodesk AutoCAD,SAS,Certificate IV in Landscape Design,Certificate IV in Furniture Design and Technology,Diploma of Furniture Design and Technology,,,No minimum education; Basic literacy and numeracy skills required,No minimum education; however some elective units have prerequisite requirements,No minimum education,,
232411,Graphic Designer,"Plans, designs, develops and prepares information for publication and reproduction using text, symbols, pictures, colours and layout to achieve commercial and communication needs with particular emphasis on tailoring the message for the intended audience.",Initiative and innovation,Planning and organising,Digital engagement,Oral communication,Reading,Graphics or photo imaging software,Social media platforms,Video creation and editing software,Adobe Photoshop,Facebook,Adobe After Effects,Certificate III in Design Fundamentals,Certificate IV in Design,Diploma of Product Design,,,No minimum education,Certificate III in Design Fundamentals; or possess some creative and design skills,Portfolio,,
232413,Multimedia Designer,"Plans, designs and develops the production of digitally delivered information, promotional content, instructional material and entertainment through online and recorded digital media using static and animated information, text, pictures, video and sound to produce information and entertainment tailored to an intended audience and purpose.",Digital engagement,Planning and organising,Reading,Initiative and innovation,Problem solving,Graphics or photo imaging software,Video creation and editing software,Social media platforms,Adobe Photoshop,Adobe After Effects,Facebook,Advanced Diploma of Screen and Media,Certificate IV in Digital Media Technologies,Certificate IV in Digital and Interactive Games,Diploma of Digital and Interactive Games,Diploma of Digital Media Technologies,No minimum education,"Certificate III in Information, Digital Media and Technology; or relevant vocational experience","Certificate III in Information, Digital Media and Technology; or relevant vocational experience",Certificate IV in Digital and Interactive Games; or relevant vocational experience,Certificate IV in Digital Media Technologies; or relevant vocational experience
233311,Electrical Engineer,"Designs, develops and supervises the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Oral communication,Reading,Writing,Technical design and modelling software (2D and 3D),Industrial control and automation software,Enterprise resource planning ERP software,Autodesk AutoCAD,Computerised Numerical Control (CNC) machining centres,SAP Business Objects,Diploma of ESI - Power Systems,Diploma of Electrical Project Management,,,,No minimum education,Relevant experience in the electrotechnology industry,,,
233512,Mechanical Engineer,"Plans, designs, organises and oversees the assembly, erection, commissioning, operation and maintenance of mechanical and process plant and installations. Registration or licensing may be required.",Reading,Initiative and innovation,Problem solving,Numeracy,Writing,Technical design and modelling software (2D and 3D),Enterprise resource planning ERP software,Industrial control and automation software,Autodesk AutoCAD,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,Advanced Diploma of Engineering Technology,Diploma of Engineering Technology,,,,"Relevant Certificate II, III or IV","Relevant Certificate II, III or IV",,,
234212,Food Technologist,"Develops new and improves existing food products, and sets standards for producing, packaging and marketing food.",Planning and organising,Writing,Reading,Learning,Problem solving,Enterprise resource planning ERP software,Scientific instruments,,SAP Business Objects,Carbon monoxide detectors,,Certificate IV in Food Processing,Diploma of Food Processing,,,,Certificate III in Food Processing; or relevant vocational training and/or vocational experience,Certificate IV in Food Processing; or relevant vocational training and/or work experience,,,
234213,Wine Maker,"Plans, supervises and coordinates the production of wine or spirits from selected varieties of grapes.",Teamwork,Initiative and innovation,Planning and organising,Digital engagement,Numeracy,Enterprise resource planning ERP software,,,SAP Business Objects,,,Diploma of Wine Technology,,,,,Certificate III in Food Processing - Cellar Operations; or relevant employment experience,,,,
234312,Environmental Consultant,"Analyses and advises on policies guiding the design, implementation and modification of government or commercial environmental operations and programs.",Planning and organising,Reading,Problem solving,Initiative and innovation,Oral communication,Document management and code versioning software,Mapping software,Enterprise resource planning ERP software,Git,,SAP Business Objects,Diploma of Sustainability,,,,,"Offered as a dual award; students will be undertaking another Diploma, Advanced Diploma/Associate Degree or Degree. Those who have already obtained a Diploma or higher level qualification and have current relevant vocational experience may apply.",,,,
234314,Park Ranger,"Assists in controlling a State or national park, scenic area, historic site, nature reserve, recreation area or conservation reserve in accordance with authorised policies and priorities.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Document management and code versioning software,Geographic information systems (GIS),GPS and navigation technologies,Git,ESRI ArcGIS software,Global Positioning System GPS devices,Certificate III in Conservation and Land Management,Certificate IV in Conservation and Land Management,Diploma of Conservation and Land Management,,,No minimum education,No minimum education,Entrance requirements vary between providers.,,
234711,Veterinarian,"Diagnoses, treats and prevents animal diseases, ailments and injuries. Registration or licensing is required.",Teamwork,Initiative and innovation,Reading,Planning and organising,Oral communication,Diagnostic and medical Imaging software,Document management and code versioning software,Medical imaging apparatus,Virtual reality computed tomography CT imaging software,Git,CAT scanners,Graduate Diploma of Animal Biomechanical Medicine,,,,,"Bachelor of Veterinary Science, Chiropractic Science or Applied Science; or Master of Chiropractic; registered practitioner; 2 years' full-time experience in practice",,,,
241213,Primary School Teacher,Teaches and coordinates a range of subjects within a prescribed curriculum to primary school students. Registration or licensing is required.,Teamwork,Planning and organising,Initiative and innovation,Reading,Writing,E-learning software,Education and learning management systems,Graphics or photo imaging software,Adobe Articulate,Moodle,Adobe Photoshop,Advanced Diploma of Rudolf Steiner Education,,,,,Relevant Diploma,,,,
242211,Vocational Education Teacher / Polytechnic Teacher,"Teaches one or more subjects within a prescribed course of study at a technical and further education (TAFE) institute, polytechnic or other training institute to tertiary students for vocational education and training purposes. Registration or licensing may be required",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Education and learning management systems,E-learning software,File storage technologies,Moodle,Adobe Articulate,Cloud storage solutions,Certificate IV in Training and Assessment,Diploma of Vocational Education and Training,Diploma of Training Design and Development,Graduate Certificate in Digital Education,"Graduate Diploma of Adult Language, Literacy and Numeracy Leadership",No minimum education,Students must have achieved Certificate IV in Training and Assessment or another relevant qualification; vocational experience in training and assessment roles within an RTO or similar organisation; or extensive experience in training and assessment roles.,Certificate IV in Training and Assessment; or relevant vocational experience,No minimum education,No minimum education
249212,Dance Teacher (Private Tuition),"Teaches students in the practice, theory and performance of dance in private training establishments.",Initiative and innovation,Planning and organising,Writing,Oral communication,Reading,Social media platforms,Business intelligence and decision support software,Document management and code versioning software,Facebook,SAP Business Objects,Git,Certificate III in Assistant Dance Teaching,Certificate IV in Dance Teaching and Management,Diploma of Dance Teaching and Management,Graduate Diploma of Elite Dance Instruction,,No minimum education,No minimum education,An audition or other form of evidence where the candidate demonstrates competence; or prerequisite Certificate IV units,Minimum of three years' experience as a professional dancer; interview and portfolio addressing selection criteria,
251111,Dietitian,"Applies the science of human nutrition to help people understand the relationship between food and health and make appropriate dietary choices to attain and maintain health, and to prevent and treat illness and disease.",Teamwork,Planning and organising,Reading,Initiative and innovation,Oral communication,Audio/video conferencing software,Business intelligence and decision support software,Patient management systems and electronic health records,Microsoft Office SharePoint Server MOSS,SAP Business Objects,3M Encoder,Advanced Diploma of Nutritional Medicine,,,,,Relevant Diploma; or year 12 or equivalent,,,,
251312,Occupational Health and Safety Adviser,"Develops, implements and evaluates risk management policies and programs, trains employees in occupational health and safety procedures, monitors and audits the workplace, and records and investigates incidents to ensure safe and healthy working conditions.",Planning and organising,Initiative and innovation,Oral communication,Learning,Writing,Project management software,Enterprise resource planning ERP software,Business intelligence and decision support software,Microsoft SharePoint,SAP Business Objects,SAP Business Objects,Diploma of Work Health and Safety,Advanced Diploma of Work Health and Safety,,,,Certificate IV in Work Health and Safety or equivalent; or relevant vocational experience plus demonstrated competency in core units from the Certificate IV or equivalent,Relevant vocational experience; prerequisite units from the Diploma of Work Health and Safety,,,
251911,Health Promotion Officer,"Assists health and community groups to improve the health of individuals and the community by raising awareness of healthy lifestyles, disease and disability, and other health-related issues.",Planning and organising,Initiative and innovation,Teamwork,Writing,Reading,Social media platforms,Audio/video conferencing software,Business intelligence and decision support software,Facebook,Microsoft Office SharePoint Server MOSS,SAP Business Objects,Certificate IV in Population Health,,,,,No minimum education,,,,
252213,Naturopath,"Treats internal health problems, metabolic disorders and imbalances through treatment of the whole person using natural therapies. Registration or licensing may be required.",Reading,Problem solving,Teamwork,Writing,Learning,Social media platforms,,,Facebook,,,Advanced Diploma of Naturopathy,,,,,Relevant Diploma; or year 12 or equivalent,,,,
254411,Nurse Practitioner,"Provides advanced and extended nursing care to patients, such as ordering diagnostic tests, undertaking diagnosis and health assessments, prescribing patient care management, medicines and therapies, as authorised in relevant nursing legislation, and referring to specialist Medical Practitioners and other Health Professionals in a range of health, welfare and community settings. Registration or licensing is required.",Planning and organising,Teamwork,Initiative and innovation,Reading,Writing,Project management software,Business intelligence and decision support software,"Medical examination, measurement, and monitoring devices",Microsoft SharePoint,SAP Business Objects,Auditory Brainstem Response (ABR) screening systems,Graduate Certificate in Advising on Chronic Disease Self Management,,,,,"Relevant employment as a nurse (Division 1 or 2), occupational therapist, dietitian or physiotherapist",,,,
254412,Registered Nurse (Aged Care),"Provides nursing care to the elderly in community settings, residential aged care facilities, retirement villages and health care facilities. Registration or licensing is required.",Teamwork,Initiative and innovation,Planning and organising,Reading,Oral communication,Business intelligence and decision support software,Patient management systems and electronic health records,Project management software,SAP Business Objects,3M Encoder,MEDITECH HCIS,Diploma of Dementia Care Leadership,,,,,Must be employed in a leadership role at an aged care workplace and have support of employer,,,,
261211,Multimedia Specialist,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for CD-ROMs, information kiosks, multimedia presentations, websites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products.",Digital engagement,Planning and organising,Initiative and innovation,Reading,Oral communication,Graphics or photo imaging software,Video creation and editing software,Social media platforms,Adobe Photoshop,Adobe After Effects,Facebook,Certificate IV in Interactive Digital Media,Diploma of Interactive Digital Media,Advanced Diploma of Screen and Media,Certificate IV in Digital Media Technologies,Diploma of Digital Media Technologies,No minimum education,No minimum education,No minimum education,"Certificate III in Information, Digital Media and Technology; or relevant vocational experience",Certificate IV in Digital Media Technologies; or relevant vocational experience
261212,Web Developer,"Plans, produces and maintains websites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT Professionals such as Business Analysts, Web Designers and network and usability specialists.",Initiative and innovation,Planning and organising,Digital engagement,Reading,Oral communication,Business intelligence and decision support software,Graphics or photo imaging software,Document management and code versioning software,SAP Business Objects,Adobe Photoshop,Git,Diploma of Website Development,,,,,No minimum education,,,,
261312,Developer Programmer,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications, including cyber security, from a business functional model, and tests and writes technical documentation.",Digital engagement,Initiative and innovation,Reading,Planning and organising,Writing,Business intelligence and decision support software,Software development and programming languages,Enterprise resource planning ERP software,SAP Business Objects,Transact-SQL,C++,Certificate IV in Programming,Diploma of Software Development,,,,"Certificate III in Information, Digital Media and Technology; or relevant vocational experience",Certificate IV in Programming; or relevant vocational experience,,,
