property_id,lat,lng,addr_street,suburb,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,House_report,Median_house_price,House_quarterly_growth,House_twelve_month_growth,House_average_annual_growth
84164,-37.86,145.00,56 Packington Street,PRAHRAN,19946,1.04,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83990,-37.85,145.00,40 Banole Avenue,PRAHRAN,19946,0.95,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83877,-37.86,145.01,32 Irving Avenue,PRAHRAN,19946,0.93,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
84152,-37.85,145.01,54 Harvey Street,PRAHRAN,19946,0.53,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83746,-37.85,145.00,24 Spring Street,PRAHRAN,19947,0.70,12,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
83831,-37.85,145.00,3 Arkle Street,PRAHRAN,19946,0.98,14,1,"Over the last year, property investments in Prahran, 3181 have given investors a capital gain of 39.29%. This compares very favourably with the 22.78% for VIC as a whole. While Prahran,3181 ranked number 148th in VIC for increase in median house value (annualised) increase, it is ranked 59th over the last 5 years. Property investors looking for a bargain in Prahran should be aiming for at least -5.86% off the asking price, which is the average vendor discount  being achieved at the moment. Often selling an investment property can take time, and in Prahran the average time real estate has been on the market is 63.7846 days. The VIC suburb of Prahran, 3181 is in the  Stonnington (C) local government area.","$1,800,000",13.37%,39.29%,11.51%
74446,-37.89,145.07,1/23 Rosella Street,MURRUMBEENA,19918,0.50,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74984,-37.90,145.08,3 Stewart Street,MURRUMBEENA,19918,0.31,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74986,-37.89,145.07,3 Wahroongaa Road,MURRUMBEENA,19919,0.36,21,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75533,-37.90,145.06,91 Woornack Road,MURRUMBEENA,19919,0.99,21,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74648,-37.91,145.07,16 Kinlock Avenue,MURRUMBEENA,19918,1.45,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75171,-37.91,145.07,42 Kinlock Avenue,MURRUMBEENA,19918,1.31,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75041,-37.90,145.07,32 Leura Street,MURRUMBEENA,19918,1.04,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74616,-37.90,145.07,15 Burns Avenue,MURRUMBEENA,19919,0.58,21,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75136,-37.90,145.07,4 Thaxted Road,MURRUMBEENA,19918,0.89,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75418,-37.90,145.07,7 Second Avenue,MURRUMBEENA,19919,0.91,21,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
75122,-37.90,145.07,4 Maude Street,MURRUMBEENA,19918,0.78,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74503,-37.90,145.06,11 Churchill Close,MURRUMBEENA,19919,1.65,21,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
74491,-37.91,145.07,1009 North Road,MURRUMBEENA,19918,1.51,23,1,"VIC has seen average median house prices change by 22.78% which means that Murrumbeena, 3163  has done well for property investors by showing a capital gain of 19.26% over the last year Murrumbeena,3163 was ranked 622 in Australia by increase in median property value over the quarter. The most recent median price for Murrumbeena is $1628500, with sellers offering an average of 0.00% off the asking price.","$1,628,500",10.65%,19.26%,6.40%
83649,-37.86,144.99,2 Somerset Place,WINDSOR,19957,0.25,-1,-1,"Giving property investors a a solid capital  gain of 49.22%  for the last year, Windsor, 3181 is  the 33th highest performer in  Australia in this respect. Windsor,3181 was ranked 399 in Australia by increase in median property value over the quarter. At number 376th of VIC’s most discounted properties, Windsor is in the middle of the state/territory when listing in order of most discounted to least.","$1,455,000",13.39%,49.22%,9.45%
84414,-37.85,145.00,84 Hornby Street,WINDSOR,19957,0.51,-1,-1,"Giving property investors a a solid capital  gain of 49.22%  for the last year, Windsor, 3181 is  the 33th highest performer in  Australia in this respect. Windsor,3181 was ranked 399 in Australia by increase in median property value over the quarter. At number 376th of VIC’s most discounted properties, Windsor is in the middle of the state/territory when listing in order of most discounted to least.","$1,455,000",13.39%,49.22%,9.45%
83501,-37.86,144.99,132 Peel Street,WINDSOR,19957,0.25,-1,-1,"Giving property investors a a solid capital  gain of 49.22%  for the last year, Windsor, 3181 is  the 33th highest performer in  Australia in this respect. Windsor,3181 was ranked 399 in Australia by increase in median property value over the quarter. At number 376th of VIC’s most discounted properties, Windsor is in the middle of the state/territory when listing in order of most discounted to least.","$1,455,000",13.39%,49.22%,9.45%
83559,-37.86,144.99,16 Elm Place,WINDSOR,19957,0.16,-1,-1,"Giving property investors a a solid capital  gain of 49.22%  for the last year, Windsor, 3181 is  the 33th highest performer in  Australia in this respect. Windsor,3181 was ranked 399 in Australia by increase in median property value over the quarter. At number 376th of VIC’s most discounted properties, Windsor is in the middle of the state/territory when listing in order of most discounted to least.","$1,455,000",13.39%,49.22%,9.45%
84032,-37.85,145.00,44 Duke Street,WINDSOR,19957,0.35,-1,-1,"Giving property investors a a solid capital  gain of 49.22%  for the last year, Windsor, 3181 is  the 33th highest performer in  Australia in this respect. Windsor,3181 was ranked 399 in Australia by increase in median property value over the quarter. At number 376th of VIC’s most discounted properties, Windsor is in the middle of the state/territory when listing in order of most discounted to least.","$1,455,000",13.39%,49.22%,9.45%
64021,-37.81,145.27,24 Vinter Avenue,CROYDON,19878,1.28,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64607,-37.81,145.29,5 Tara Close,CROYDON,19878,1.94,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64141,-37.79,145.27,2a Midhurst Road,CROYDON,19878,1.18,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63297,-37.79,145.30,1/44 Sherlock Road,CROYDON,19877,1.14,45,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64348,-37.80,145.30,366 Mount Dandenong Road,CROYDON,19878,1.48,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64967,-37.80,145.29,9 LARISSA COURT,CROYDON,19878,1.56,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63669,-37.79,145.28,17 Hyton Crescent,CROYDON,19878,0.83,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
65010,-37.80,145.29,"Unit 1, 2 SPRINGFIELD AVENUE",CROYDON,19878,0.68,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64483,-37.78,145.30,41 Smith Avenue,CROYDON,19877,1.28,45,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64841,-37.79,145.27,72 Murray Road,CROYDON,19878,1.29,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64102,-37.77,145.29,28 Dorset Road,CROYDON,19877,2.03,45,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64264,-37.81,145.29,32 Barclay Avenue,CROYDON,19878,2.05,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63542,-37.80,145.27,14 Richards Avenue,CROYDON,19878,1.18,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64017,-37.79,145.27,24 Penhyrn Avenue,CROYDON,19878,0.92,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
64827,-37.77,145.30,7 Vicki Street,CROYDON,19877,1.58,45,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63627,-37.78,145.27,16 Midhurst Road,CROYDON,19878,1.51,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63870,-37.80,145.27,2/51 Mt Dandenong Road,CROYDON,19878,1.38,41,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
63773,-37.79,145.30,19 Todd Court,CROYDON,19877,0.86,45,1,"If you compare the increase in value of investment property in  Croydon, 3136  to the rest of Australia, it performed around average. The median increase in value, or capital gain property investors experienced for this VIC suburb was 11.67%. If we look at median property appreciation over just the last three months, Croydon has given property investors a paper return of 11.67%. This puts Suburb as 276 on a list of fastest fasting appreciating suburbs in VIC LACK OF BUYER INTEREST may well be the reason that Croydon  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC","$900,000",11.67%,11.67%,14.72%
